x,gamma
1.8443872482002133,0.7402552129193036
1.871652018846987,0.11098655608232637
1.8810844041592225,0.9373607764865686
2.1403371137618263,0.8039398576321692
2.1922507054779867,0.6528759723854897
2.234120086208612,0.9257142285345816
2.2811697568938376,0.93737751593877
2.2948753679679363,0.9081851379828448
2.2951304115241324,0.9372392219103316
2.3039505531889017,0.8238894111872076
2.3161730981768476,0.9212166865163622
2.377766972676681,0.8383690292510693
2.3888831435907285,0.7655475803070191
2.574904548711832,0.935432702247385
2.5835892269593397,0.73223499724911
2.682527135490148,0.8745186276838582
2.7242676103980736,0.8270840070364769
2.7426509821261034,0.6837680555577021
2.754598821350358,0.8397549426841942
2.8236922315145208,0.0
2.837930728617491,0.9374100984266694
2.8883864937193273,0.9374382646429458
2.8955698844820614,0.0
2.9993682529754437,0.519840814806933
